accession.version	start	stop	gap_length	gap_type	linkage_evidence
NC_037335.1	35896	35920	25	within_scaffold	paired-ends
NC_037335.1	92721	92820	100	within_scaffold	paired-ends
NC_037335.1	92822	92846	25	within_scaffold	paired-ends
NC_037335.1	4476667	4476691	25	within_scaffold	paired-ends
NC_037335.1	7303547	7303798	252	within_scaffold	paired-ends
NC_037335.1	22578546	22578645	100	within_scaffold	paired-ends
NC_037335.1	22578647	22578746	100	within_scaffold	paired-ends
NC_037335.1	50858342	50858441	100	within_scaffold	paired-ends
NC_037335.1	55383836	55383935	100	within_scaffold	paired-ends
NC_037335.1	60139110	60139209	100	within_scaffold	paired-ends
NC_037335.1	60173145	60173244	100	within_scaffold	paired-ends
NC_037335.1	61291156	61291180	25	within_scaffold	paired-ends
NC_037335.1	87694127	87694151	25	within_scaffold	paired-ends
NC_037335.1	113078282	113078306	25	within_scaffold	paired-ends
NC_037335.1	113138085	113138109	25	within_scaffold	paired-ends
NC_037335.1	113193791	113193815	25	within_scaffold	paired-ends
NC_037335.1	113261590	113261841	252	within_scaffold	paired-ends
NC_037335.1	113281103	113281354	252	within_scaffold	paired-ends
NC_037336.1	12264736	12264760	25	within_scaffold	paired-ends
NC_037336.1	15735936	15735960	25	within_scaffold	paired-ends
NC_037336.1	78736125	78736149	25	within_scaffold	paired-ends
NC_037336.1	82371051	82371075	25	within_scaffold	paired-ends
NC_037336.1	87136873	87136972	100	within_scaffold	paired-ends
NC_037336.1	104145148	104145247	100	within_scaffold	paired-ends
NC_037336.1	104145402	104145426	25	within_scaffold	paired-ends
NC_037336.1	104202209	104202233	25	within_scaffold	paired-ends
NC_037336.1	104293576	104293600	25	within_scaffold	paired-ends
NC_037336.1	104445582	104445606	25	within_scaffold	paired-ends
NC_037336.1	104622966	104622990	25	within_scaffold	paired-ends
NC_037336.1	104647534	104647558	25	within_scaffold	paired-ends
NC_037337.1	22713110	22713361	252	within_scaffold	paired-ends
NC_037337.1	23287981	23288005	25	within_scaffold	paired-ends
NC_037337.1	23776401	23776425	25	within_scaffold	paired-ends
NC_037337.1	24144589	24144688	100	within_scaffold	paired-ends
NC_037337.1	24186013	24186112	100	within_scaffold	paired-ends
NC_037337.1	24267208	24267307	100	within_scaffold	paired-ends
NC_037337.1	24823732	24823756	25	within_scaffold	paired-ends
NC_037337.1	40266303	40266402	100	within_scaffold	paired-ends
NC_037337.1	42170183	42170207	25	within_scaffold	paired-ends
NC_037337.1	63826698	63826797	100	within_scaffold	paired-ends
NC_037337.1	93710304	93710328	25	within_scaffold	paired-ends
NC_037337.1	93733155	93733179	25	within_scaffold	paired-ends
NC_037337.1	93774145	93774169	25	within_scaffold	paired-ends
NC_037337.1	94713629	94713728	100	within_scaffold	paired-ends
NC_037337.1	102324331	102324355	25	within_scaffold	paired-ends
NC_037338.1	6759023	6759047	25	within_scaffold	paired-ends
NC_037338.1	6941073	6941097	25	within_scaffold	paired-ends
NC_037338.1	26457008	26457032	25	within_scaffold	paired-ends
NC_037338.1	32727427	32727526	100	within_scaffold	paired-ends
NC_037338.1	83012892	83012916	25	within_scaffold	paired-ends
NC_037338.1	84414553	84414652	100	within_scaffold	paired-ends
NC_037339.1	21495997	21496021	25	within_scaffold	paired-ends
NC_037339.1	42473256	42473355	100	within_scaffold	paired-ends
NC_037339.1	70076305	70076329	25	within_scaffold	paired-ends
NC_037339.1	70985888	70985912	25	within_scaffold	paired-ends
NC_037339.1	71044980	71045004	25	within_scaffold	paired-ends
NC_037339.1	71047853	71047952	100	within_scaffold	paired-ends
NC_037339.1	71485800	71485824	25	within_scaffold	paired-ends
NC_037339.1	71520251	71520350	100	within_scaffold	paired-ends
NC_037339.1	71532183	71532434	252	within_scaffold	paired-ends
NC_037339.1	71716327	71716351	25	within_scaffold	paired-ends
NC_037339.1	71864043	71864067	25	within_scaffold	paired-ends
NC_037339.1	72604904	72605003	100	within_scaffold	paired-ends
NC_037339.1	86901156	86901407	252	within_scaffold	paired-ends
NC_037339.1	87160100	87160351	252	within_scaffold	paired-ends
NC_037340.1	3193298	3193397	100	within_scaffold	paired-ends
NC_037340.1	11061789	11061813	25	within_scaffold	paired-ends
NC_037340.1	11311884	11312135	252	within_scaffold	paired-ends
NC_037340.1	11348405	11348504	100	within_scaffold	paired-ends
NC_037340.1	17632927	17633178	252	within_scaffold	paired-ends
NC_037340.1	39236888	39236987	100	within_scaffold	paired-ends
NC_037340.1	43340337	43340361	25	within_scaffold	paired-ends
NC_037340.1	43448873	43449124	252	within_scaffold	paired-ends
NC_037341.1	4722860	4722959	100	within_scaffold	paired-ends
NC_037341.1	13488539	13488563	25	within_scaffold	paired-ends
NC_037341.1	13847613	13847637	25	within_scaffold	paired-ends
NC_037341.1	49088886	49088910	25	within_scaffold	paired-ends
NC_037341.1	69734416	69734440	25	within_scaffold	paired-ends
NC_037341.1	82276955	82276979	25	within_scaffold	paired-ends
NC_037341.1	82325593	82325617	25	within_scaffold	paired-ends
NC_037341.1	82344692	82344943	252	within_scaffold	paired-ends
NC_037342.1	11024188	11024212	25	within_scaffold	paired-ends
NC_037342.1	12275383	12275407	25	within_scaffold	paired-ends
NC_037342.1	14728744	14728768	25	within_scaffold	paired-ends
NC_037342.1	46059279	46059378	100	within_scaffold	paired-ends
NC_037342.1	47281947	47281971	25	within_scaffold	paired-ends
NC_037342.1	47385421	47385445	25	within_scaffold	paired-ends
NC_037342.1	48929460	48929484	25	within_scaffold	paired-ends
NC_037342.1	48935342	48935593	252	within_scaffold	paired-ends
NC_037342.1	49179721	49179820	100	within_scaffold	paired-ends
NC_037342.1	49937426	49937450	25	within_scaffold	paired-ends
NC_037342.1	79571710	79571961	252	within_scaffold	paired-ends
NC_037342.1	83977137	83977161	25	within_scaffold	paired-ends
NC_037342.1	84957481	84957580	100	within_scaffold	paired-ends
NC_037342.1	84957582	84957606	25	within_scaffold	paired-ends
NC_037343.1	468583	468607	25	within_scaffold	paired-ends
NC_037343.1	6289399	6289423	25	within_scaffold	paired-ends
NC_037343.1	7063028	7063126	99	within_scaffold	paired-ends
NC_037343.1	7076482	7076581	100	within_scaffold	paired-ends
NC_037343.1	47712888	47712912	25	within_scaffold	paired-ends
NC_037343.1	48173077	48173101	25	within_scaffold	paired-ends
NC_037343.1	48203852	48203876	25	within_scaffold	paired-ends
NC_037343.1	48907386	48907410	25	within_scaffold	paired-ends
NC_037343.1	49795893	49795917	25	within_scaffold	paired-ends
NC_037343.1	79231059	79231083	25	within_scaffold	paired-ends
NC_037343.1	80451149	80451173	25	within_scaffold	paired-ends
NC_037344.1	8485068	8485167	100	within_scaffold	paired-ends
NC_037344.1	10983616	10983867	252	within_scaffold	paired-ends
NC_037344.1	14036216	14036467	252	within_scaffold	paired-ends
NC_037344.1	29325753	29325777	25	within_scaffold	paired-ends
NC_037344.1	30243004	30243028	25	within_scaffold	paired-ends
NC_037344.1	30288218	30288242	25	within_scaffold	paired-ends
NC_037344.1	32183504	32183528	25	within_scaffold	paired-ends
NC_037344.1	32218273	32218297	25	within_scaffold	paired-ends
NC_037344.1	39031685	39031709	25	within_scaffold	paired-ends
NC_037344.1	39035988	39036012	25	within_scaffold	paired-ends
NC_037344.1	68216467	68216491	25	within_scaffold	paired-ends
NC_037344.1	69676884	69676983	100	within_scaffold	paired-ends
NC_037344.1	70694011	70694110	100	within_scaffold	paired-ends
NC_037344.1	70717732	70717983	252	within_scaffold	paired-ends
NC_037344.1	70756466	70756565	100	within_scaffold	paired-ends
NC_037344.1	70786431	70786455	25	within_scaffold	paired-ends
NC_037344.1	70877658	70877682	25	within_scaffold	paired-ends
NC_037344.1	71152578	71152602	25	within_scaffold	paired-ends
NC_037344.1	73148551	73148575	25	within_scaffold	paired-ends
NC_037345.1	57154077	57154101	25	within_scaffold	paired-ends
NC_037345.1	57330515	57330614	100	within_scaffold	paired-ends
NC_037345.1	61122334	61122433	100	within_scaffold	paired-ends
NC_037345.1	62982374	62982398	25	within_scaffold	paired-ends
NC_037345.1	63022349	63022373	25	within_scaffold	paired-ends
NC_037345.1	63118826	63118850	25	within_scaffold	paired-ends
NC_037345.1	63157784	63157808	25	within_scaffold	paired-ends
NC_037345.1	63643071	63643095	25	within_scaffold	paired-ends
NC_037346.1	43265600	43265624	25	within_scaffold	paired-ends
NC_037346.1	43294012	43294036	25	within_scaffold	paired-ends
NC_037346.1	48804432	48804531	100	within_scaffold	paired-ends
NC_037346.1	57766488	57766512	25	within_scaffold	paired-ends
NC_037347.1	25274929	25274953	25	within_scaffold	paired-ends
NC_037347.1	43360005	43360029	25	within_scaffold	paired-ends
NC_037347.1	51218615	51218714	100	within_scaffold	paired-ends
NC_037347.1	71881075	71881099	25	within_scaffold	paired-ends
NC_037348.1	278089	278113	25	within_scaffold	paired-ends
NC_037348.1	411439	411463	25	within_scaffold	paired-ends
NC_037348.1	625076	625327	252	within_scaffold	paired-ends
NC_037348.1	33047686	33047710	25	within_scaffold	paired-ends
NC_037348.1	58943827	58943851	25	within_scaffold	paired-ends
NC_037348.1	59292719	59292743	25	within_scaffold	paired-ends
NC_037348.1	59468456	59468480	25	within_scaffold	paired-ends
NC_037348.1	69840002	69840026	25	within_scaffold	paired-ends
NC_037350.1	16595175	16595274	100	within_scaffold	paired-ends
NC_037350.1	21520178	21520202	25	within_scaffold	paired-ends
NC_037350.1	21772250	21772274	25	within_scaffold	paired-ends
NC_037350.1	21791602	21791626	25	within_scaffold	paired-ends
NC_037350.1	25926268	25926292	25	within_scaffold	paired-ends
NC_037350.1	26813108	26813132	25	within_scaffold	paired-ends
NC_037350.1	31277400	31277424	25	within_scaffold	paired-ends
NC_037351.1	62161801	62162052	252	within_scaffold	paired-ends
NC_037352.1	22855620	22855871	252	within_scaffold	paired-ends
NC_037353.1	3236	3300	65	within_scaffold	paired-ends
NC_037353.1	15001622	15001646	25	within_scaffold	paired-ends
NC_037353.1	15151639	15151738	100	within_scaffold	paired-ends
NC_037353.1	15157104	15157128	25	within_scaffold	paired-ends
NC_037353.1	15218816	15218840	25	within_scaffold	paired-ends
NC_037353.1	23131398	23131422	25	within_scaffold	paired-ends
NC_037353.1	25250481	25250505	25	within_scaffold	paired-ends
NC_037353.1	25289916	25289940	25	within_scaffold	paired-ends
NC_037353.1	25480965	25480989	25	within_scaffold	paired-ends
NC_037353.1	25834321	25834345	25	within_scaffold	paired-ends
NC_037353.1	26377452	26377476	25	within_scaffold	paired-ends
NC_037353.1	50117034	50117058	25	within_scaffold	paired-ends
NC_037353.1	50216416	50216440	25	within_scaffold	paired-ends
NC_037353.1	50544596	50544655	60	within_scaffold	paired-ends
NC_037353.1	50610701	50610725	25	within_scaffold	paired-ends
NC_037353.1	51100746	51100770	25	within_scaffold	paired-ends
NC_037353.1	51118301	51118325	25	within_scaffold	paired-ends
NC_037353.1	51147440	51147464	25	within_scaffold	paired-ends
NC_037353.1	51235187	51235211	25	within_scaffold	paired-ends
NC_037353.1	51681831	51681855	25	within_scaffold	paired-ends
NC_037353.1	51765530	51765554	25	within_scaffold	paired-ends
NC_037353.1	51796683	51796707	25	within_scaffold	paired-ends
NC_037354.1	6455438	6455462	25	within_scaffold	paired-ends
NC_037354.1	6700409	6700508	100	within_scaffold	paired-ends
NC_037354.1	6720552	6720803	252	within_scaffold	paired-ends
NC_037354.1	33804709	33804733	25	within_scaffold	paired-ends
NC_037355.1	2847211	2847235	25	within_scaffold	paired-ends
NC_037355.1	45877201	45877452	252	within_scaffold	paired-ends
NC_037356.1	1886719	1886743	25	within_scaffold	paired-ends
NC_037356.1	5510711	5510735	25	within_scaffold	paired-ends
NC_037356.1	5531041	5531084	44	within_scaffold	paired-ends
NC_037356.1	27373693	27373717	25	within_scaffold	paired-ends
NC_037357.1	163339	163438	100	within_scaffold	paired-ends
NC_037357.1	199072	199096	25	within_scaffold	paired-ends
NC_037357.1	4404455	4404706	252	within_scaffold	paired-ends
NC_037357.1	4508961	4508985	25	within_scaffold	paired-ends
NC_037357.1	4544915	4545014	100	within_scaffold	paired-ends
NC_037357.1	5623485	5623736	252	within_scaffold	paired-ends
NC_037357.1	10851877	10852128	252	within_scaffold	paired-ends
NC_037357.1	12620772	12620871	100	within_scaffold	paired-ends
NC_037357.1	14459111	14459210	100	within_scaffold	paired-ends
NC_037357.1	17012562	17012813	252	within_scaffold	paired-ends
NC_037357.1	18723925	18723949	25	within_scaffold	paired-ends
NC_037357.1	19025131	19025155	25	within_scaffold	paired-ends
NC_037357.1	19072353	19072452	100	within_scaffold	paired-ends
NC_037357.1	19101404	19101503	100	within_scaffold	paired-ends
NC_037357.1	19312114	19312213	100	within_scaffold	paired-ends
NC_037357.1	23506437	23506536	100	within_scaffold	paired-ends
NC_037357.1	23612283	23612307	25	within_scaffold	paired-ends
NC_037357.1	24408014	24408038	25	within_scaffold	paired-ends
NC_037357.1	27239445	27239544	100	within_scaffold	paired-ends
NC_037357.1	28499820	28499919	100	within_scaffold	paired-ends
NC_037357.1	32240725	32240749	25	within_scaffold	paired-ends
NC_037357.1	36564402	36564501	100	within_scaffold	paired-ends
NC_037357.1	38339888	38340139	252	within_scaffold	paired-ends
NC_037357.1	50096191	50096442	252	within_scaffold	paired-ends
NC_037357.1	51641549	51641573	25	within_scaffold	paired-ends
NC_037357.1	51679782	51679806	25	within_scaffold	paired-ends
NC_037357.1	51871433	51871457	25	within_scaffold	paired-ends
NC_037357.1	52711136	52711160	25	within_scaffold	paired-ends
NC_037357.1	52764927	52765178	252	within_scaffold	paired-ends
NC_037357.1	54748144	54748243	100	within_scaffold	paired-ends
NC_037357.1	59187829	59188080	252	within_scaffold	paired-ends
NC_037357.1	62472252	62472274	23	within_scaffold	paired-ends
NC_037357.1	68439665	68439916	252	within_scaffold	paired-ends
NC_037357.1	73890556	73890580	25	within_scaffold	paired-ends
NC_037357.1	78932482	78932581	100	within_scaffold	paired-ends
NC_037357.1	78992583	78992834	252	within_scaffold	paired-ends
NC_037357.1	84760126	84760150	25	within_scaffold	paired-ends
NC_037357.1	84784544	84784568	25	within_scaffold	paired-ends
NC_037357.1	86229926	86230025	100	within_scaffold	paired-ends
NC_037357.1	90048436	90048535	100	within_scaffold	paired-ends
NC_037357.1	90078919	90079018	100	within_scaffold	paired-ends
NC_037357.1	90180404	90180428	25	within_scaffold	paired-ends
NC_037357.1	90208100	90208199	100	within_scaffold	paired-ends
NC_037357.1	90227327	90227578	252	within_scaffold	paired-ends
NC_037357.1	92762076	92762100	25	within_scaffold	paired-ends
NC_037357.1	94502354	94502378	25	within_scaffold	paired-ends
NC_037357.1	97697016	97697040	25	within_scaffold	paired-ends
NC_037357.1	112463049	112463148	100	within_scaffold	paired-ends
NC_037357.1	113352816	113353067	252	within_scaffold	paired-ends
NC_037357.1	113624150	113624401	252	within_scaffold	paired-ends
NC_037357.1	117194242	117194493	252	within_scaffold	paired-ends
NC_037357.1	121894322	121894421	100	within_scaffold	paired-ends
NC_037357.1	123822080	123822331	252	within_scaffold	paired-ends
NC_037357.1	124101120	124101144	25	within_scaffold	paired-ends
NC_037357.1	132142053	132142077	25	within_scaffold	paired-ends
